family,budget,baseline,loss_difference,wins,ties,losses
complementary,0.0,depth1,0.0,0,20,0
complementary,0.0,completion,0.0,0,20,0
complementary,0.0,generic2,0.0,0,20,0
complementary,0.0,depth3,0.0,0,20,0
complementary,0.0,no_scope,0.0,0,20,0
complementary,0.0,request_specific,0.0,0,20,0
complementary,0.0,memory,0.0,0,20,0
complementary,1.0,depth1,0.0,0,20,0
complementary,1.0,completion,0.0,0,20,0
complementary,1.0,generic2,0.0,0,20,0
complementary,1.0,depth3,0.0,0,20,0
complementary,1.0,no_scope,0.0,0,20,0
complementary,1.0,request_specific,0.0,0,20,0
complementary,1.0,memory,-1.0,20,0,0
complementary,2.0,depth1,-2.0,20,0,0
complementary,2.0,completion,-2.0,20,0,0
complementary,2.0,generic2,0.0,0,20,0
complementary,2.0,depth3,0.0,0,20,0
complementary,2.0,no_scope,0.0,0,20,0
complementary,2.0,request_specific,-2.0,20,0,0
complementary,2.0,memory,-3.0,20,0,0
complementary,4.0,depth1,-3.0,20,0,0
complementary,4.0,completion,0.0,0,20,0
complementary,4.0,generic2,0.0,0,20,0
complementary,4.0,depth3,0.0,0,20,0
complementary,4.0,no_scope,0.0,0,20,0
complementary,4.0,request_specific,-2.0,20,0,0
complementary,4.0,memory,-4.0,20,0,0
complementary,6.0,depth1,-3.0,20,0,0
complementary,6.0,completion,0.0,0,20,0
complementary,6.0,generic2,0.0,0,20,0
complementary,6.0,depth3,0.0,0,20,0
complementary,6.0,no_scope,0.0,0,20,0
complementary,6.0,request_specific,-1.0,20,0,0
complementary,6.0,memory,-4.0,20,0,0
complementary,unlimited,depth1,-3.0,20,0,0
complementary,unlimited,completion,0.0,0,20,0
complementary,unlimited,generic2,0.0,0,20,0
complementary,unlimited,depth3,0.0,0,20,0
complementary,unlimited,no_scope,0.0,0,20,0
complementary,unlimited,request_specific,0.0,0,20,0
complementary,unlimited,memory,-4.0,20,0,0
grid_full_arity_1,0.0,depth1,0.0,0,12,0
grid_full_arity_1,0.0,completion,0.0,0,12,0
grid_full_arity_1,0.0,generic2,0.0,0,12,0
grid_full_arity_1,0.0,depth3,0.0,0,12,0
grid_full_arity_1,0.0,no_scope,0.0,0,12,0
grid_full_arity_1,0.0,request_specific,0.0,0,12,0
grid_full_arity_1,0.0,memory,0.0,0,12,0
grid_full_arity_1,1.0,depth1,0.0,0,12,0
grid_full_arity_1,1.0,completion,0.0,0,12,0
grid_full_arity_1,1.0,generic2,0.0,0,12,0
grid_full_arity_1,1.0,depth3,0.0,0,12,0
grid_full_arity_1,1.0,no_scope,0.0,0,12,0
grid_full_arity_1,1.0,request_specific,-2.0,12,0,0
grid_full_arity_1,1.0,memory,-3.0,12,0,0
grid_full_arity_1,2.0,depth1,0.0,0,12,0
grid_full_arity_1,2.0,completion,0.0,0,12,0
grid_full_arity_1,2.0,generic2,0.0,0,12,0
grid_full_arity_1,2.0,depth3,0.0,0,12,0
grid_full_arity_1,2.0,no_scope,0.0,0,12,0
grid_full_arity_1,2.0,request_specific,-2.0,12,0,0
grid_full_arity_1,2.0,memory,-4.0,12,0,0
grid_full_arity_1,4.0,depth1,0.0,0,12,0
grid_full_arity_1,4.0,completion,0.0,0,12,0
grid_full_arity_1,4.0,generic2,0.0,0,12,0
grid_full_arity_1,4.0,depth3,0.0,0,12,0
grid_full_arity_1,4.0,no_scope,0.0,0,12,0
grid_full_arity_1,4.0,request_specific,0.0,0,12,0
grid_full_arity_1,4.0,memory,-4.0,12,0,0
grid_full_arity_1,6.0,depth1,0.0,0,12,0
grid_full_arity_1,6.0,completion,0.0,0,12,0
grid_full_arity_1,6.0,generic2,0.0,0,12,0
grid_full_arity_1,6.0,depth3,0.0,0,12,0
grid_full_arity_1,6.0,no_scope,0.0,0,12,0
grid_full_arity_1,6.0,request_specific,0.0,0,12,0
grid_full_arity_1,6.0,memory,-4.0,12,0,0
grid_full_arity_1,unlimited,depth1,0.0,0,12,0
grid_full_arity_1,unlimited,completion,0.0,0,12,0
grid_full_arity_1,unlimited,generic2,0.0,0,12,0
grid_full_arity_1,unlimited,depth3,0.0,0,12,0
grid_full_arity_1,unlimited,no_scope,0.0,0,12,0
grid_full_arity_1,unlimited,request_specific,0.0,0,12,0
grid_full_arity_1,unlimited,memory,-4.0,12,0,0
grid_full_arity_2,0.0,depth1,0.0,0,12,0
grid_full_arity_2,0.0,completion,0.0,0,12,0
grid_full_arity_2,0.0,generic2,0.0,0,12,0
grid_full_arity_2,0.0,depth3,0.0,0,12,0
grid_full_arity_2,0.0,no_scope,0.0,0,12,0
grid_full_arity_2,0.0,request_specific,0.0,0,12,0
grid_full_arity_2,0.0,memory,0.0,0,12,0
grid_full_arity_2,1.0,depth1,0.0,0,12,0
grid_full_arity_2,1.0,completion,0.0,0,12,0
grid_full_arity_2,1.0,generic2,0.0,0,12,0
grid_full_arity_2,1.0,depth3,0.0,0,12,0
grid_full_arity_2,1.0,no_scope,0.0,0,12,0
grid_full_arity_2,1.0,request_specific,0.0,0,12,0
grid_full_arity_2,1.0,memory,-1.0,12,0,0
grid_full_arity_2,2.0,depth1,-2.0,12,0,0
grid_full_arity_2,2.0,completion,-2.0,12,0,0
grid_full_arity_2,2.0,generic2,0.0,0,12,0
grid_full_arity_2,2.0,depth3,0.0,0,12,0
